,time,sex,vegan,rest,games,series,books,english,old_days,child_offence_no,child_offence_infrequently,child_offence_often,dvach_best_bord,dvach_doesn't_know,dvach_hate_abu,dvach_vk_pub,gender_other,gender_bi,gender_hetero,antisemetism_yes,antisemetism_no,antisemetism_afraid,subject_literature,subject_math,subject_IT,subject_history,subject_foreign_languages,subject_physics,subject_biology,subject_chemistry,crimea_neutral,crimea_no,crimea_yes,putin_good,rebel,films_action,films_detective,films_anime,films_drama,films_comedy,films_melodrama,films_historical,films_tragedy,films_horror,films_fantasy
108,2019-10-06 14:22:09,0,3,0,3,1,5,3,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
109,2019-10-06 14:22:10,0,3,0,3,5,4,3,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
110,2019-10-06 14:23:46,1,0,0,4,4,5,2,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0
111,2019-10-06 14:24:01,1,1,0,5,2,4,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1
112,2019-10-06 14:24:09,1,0,0,4,1,3,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1
113,2019-10-06 14:25:13,0,1,0,2,2,2,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1
114,2019-10-06 14:26:29,1,5,0,7,7,7,5,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
115,2019-10-06 14:38:11,1,1,0,3,4,4,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1
116,2019-10-06 14:38:15,0,1,0,5,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1
117,2019-10-06 14:40:14,1,1,0,2,1,2,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0
118,2019-10-06 14:44:03,0,0,0,3,2,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1
119,2019-10-06 14:45:33,1,1,0,3,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0
